日付,フェーズ,目標朝体重(kg),朝メニュー,昼メニュー,夜メニュー,補食,総kcal目安,P(g),F(g),C(g),水分メモ,体調メモ
2026/3/24,土台作り,68.4-68.8,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米130g; 鹿もも200g; ブロッコリー60g; もやし100g; みかん1個,蕎麦100g; 焼き鮭150g; 卵1個; 野菜少量,必要時のみゼリー少量,1484,112.2,34.3,113.1,水400-600mlを朝; 練習中は適宜,朝体重/睡眠/便通/疲労感を記録
2026/3/25,土台作り,68.3-68.7,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米130g; 鹿もも180g; ブロッコリー60g; もやし100g,白米80g; 鹿もも150g; 卵1個; 野菜少量,必要時のみバナナ1/2,1395,109,29.4,99.4,朝と練習中の水分を安定,夜の食べすぎ注意
2026/3/26,土台作り,68.2-68.6,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米120g; 鹿もも200g; ブロッコリー60g; もやし100g,蕎麦90g; 焼き鮭150g; 野菜少量,なし,1404,104.5,28.5,105.7,塩分の濃い汁物を控えめ,むくみ有無を確認
2026/3/27,土台作り,68.1-68.5,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米130g; 鹿もも180g; もやし100g; みかん1個,白米70g; 焼き鮭150g; 卵1個; 野菜少量,必要時のみゼリー少量,1440,105.8,35.2,105.7,カフェイン摂りすぎ注意,練習のキレを確認
2026/3/28,土台作り,68.0-68.4,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米120g; 鹿もも200g; ブロッコリー60g; もやし100g,蕎麦90g; 鹿もも150g; 野菜少量,なし,1330,112.3,24.3,105.7,外食を避ける,空腹感を観察
2026/3/29,土台作り,67.9-68.3,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米100g; 鹿もも180g; もやし100g; ブロッコリー60g,白米70g; 焼き鮭120g; 卵1個; 野菜少量,必要時のみバナナ1/2,1388,100.8,32.2,97.4,水分を急に絞らない,休養なら夜を軽めに
2026/3/30,土台作り,67.8-68.2,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米120g; 鹿もも200g; ブロッコリー60g; みかん1個,蕎麦80g; 焼き鮭150g; 野菜少量,必要時のみゼリー少量,1390,103.3,28.4,104.6,便通を意識,翌朝体重で調整判断
2026/3/31,土台作り,67.7-68.1,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米100g; 鹿もも180g; もやし100g; ブロッコリー60g,白米70g; 鹿もも150g; 卵1個; 野菜少量,なし,1326,106.5,28.2,94.8,ここまでの平均体重を見る,67kg台後半なら順調
2026/4/1,絞り込み1,67.5-67.9,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米100g; 鹿もも200g; ブロッコリー60g; もやし100g,蕎麦80g; 焼き鮭150g; 卵1個,必要時のみゼリー少量,1392,109,33.5,94,水はこまめに,夜の塩分を抑える
2026/4/2,絞り込み1,67.3-67.8,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米100g; 鹿もも180g; もやし100g; ブロッコリー60g,白米60g; 焼き鮭150g; 野菜少量,なし,1353,99.8,27.9,94.4,汁物は控えめ,体重が重ければ夜炭水化物微減
2026/4/3,絞り込み1,67.2-67.7,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米100g; 鹿もも200g; ブロッコリー60g; みかん1個,蕎麦70g; 鹿もも150g; 卵1個,必要時のみバナナ1/2,1357,115.9,26.4,92.8,練習日なら無理に削りすぎない,動けるか確認
2026/4/4,絞り込み1,67.0-67.6,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米90g; 鹿もも180g; ブロッコリー60g; もやし100g,白米60g; 焼き鮭150g; 野菜少量,なし,1321,99.3,27.9,90.9,外食なし推奨,睡眠優先
2026/4/5,絞り込み1,66.9-67.5,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米90g; 鹿もも200g; もやし100g,蕎麦70g; 焼き鮭120g; 卵1個,なし,1347,106.8,30.8,88.3,むくみを記録,休養なら補食なし
2026/4/6,絞り込み1,66.7-67.3,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米100g; 鹿もも180g; ブロッコリー60g,白米50g; 鹿もも150g; 野菜少量,必要時のみゼリー少量,1288,108.1,24.6,85.8,練習前後の水分は安定,脚の重さを確認
2026/4/7,絞り込み1,66.5-67.0,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米90g; 鹿もも200g; もやし100g,蕎麦60g; 焼き鮭150g; 野菜少量,なし,1314,103.4,27.9,85.7,4/7判定日,66kg台後半なら順調
2026/4/8,絞り込み2,66.3-66.8,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米90g; 鹿もも180g; ブロッコリー60g,白米50g; 焼き鮭150g; 卵1個,なし,1353,104.5,33.1,82.8,水分は通常通り,濃い味を避ける
2026/4/9,絞り込み2,66.1-66.6,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米80g; 鹿もも200g; もやし100g,蕎麦60g; 鹿もも150g; 野菜少量,なし,1264,113,23.1,81.7,夜のボリューム抑制,空腹の暴発に注意
2026/4/10,絞り込み2,65.9-66.4,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米80g; 鹿もも180g; みかん1個,白米50g; 焼き鮭150g; 野菜少量,必要時のみゼリー少量,1293,96.8,27.3,86,練習の質低下なら昼米微増可,疲労感を記録
2026/4/11,絞り込み2,65.7-66.2,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米70g; 鹿もも200g; ブロッコリー60g,蕎麦60g; 焼き鮭120g; 卵1個,なし,1290,106.4,30.8,76.5,ここから塩分さらに意識,むくみを見る
2026/4/12,絞り込み2,65.5-66.0,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米70g; 鹿もも180g; もやし100g,白米40g; 鹿もも150g; 野菜少量,なし,1220,103.1,23.9,76.2,休養ならさらに軽くも可,便通チェック
2026/4/13,絞り込み2,65.2-65.8,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米70g; 鹿もも200g,蕎麦50g; 焼き鮭150g; 野菜少量,必要時のみバナナ1/2,1251,100.1,27.4,73.5,食事時間を遅くしすぎない,朝体重の流れを見る
2026/4/14,絞り込み2,64.8-65.5,プロテイン2スクープ; グルタミン5g; パン70g; ナッツ10g,白米60g; 鹿もも180g; 野菜少量,白米40g; 焼き鮭120g; 卵1個,なし,1225,94.4,29.6,71.9,4/14重要判定,重ければ夜炭水化物-10g
2026/4/15,仕上げ前,64.7-65.3,プロテイン2スクープ; グルタミン5g; パン60g; ナッツ5g,白米70g; 鹿もも180g; もやし少量,蕎麦60g; 焼き鮭150g,なし,1165,99.3,25.8,69.2,水は極端に削らない,立ちくらみ注意
2026/4/16,仕上げ前,64.5-65.1,プロテイン2スクープ; グルタミン5g; パン60g; ナッツ5g,白米60g; 鹿もも200g,白米50g; 鹿もも150g; 卵1個,なし,1177,110.1,23.7,58.6,塩分をさらに安定化,体調第一
2026/4/17,仕上げ前,64.2-64.9,プロテイン2スクープ; グルタミン5g; パン50g; ナッツ5g,白米60g; 鹿もも180g,蕎麦50g; 焼き鮭120g,必要時のみゼリー少量,1077,95.8,22.6,55.5,練習量に応じて無理しない,動悸/頭痛なら見直し
2026/4/18,仕上げ前,63.8-64.6,プロテイン2スクープ; グルタミン5g; パン50g; ナッツ5g,白米50g; 鹿もも180g,白米40g; 焼き鮭120g; 卵1個,なし,1103,93.9,24.4,52.5,4/18重要判定,ここで遠いなら自己流で詰めない
2026/4/19,計量週,63.6-64.4,プロテイン2スクープ; グルタミン5g; パン50g,白米50g; 鹿もも180g,鹿もも150g; 野菜少量,なし,904,95.3,16,42.4,増やさない日,濃い味/外食なし
2026/4/20,計量週,63.3-64.1,プロテイン2スクープ; グルタミン5g; パン30g,白米40g; 鹿もも150g,鹿もも150g; 野菜少量,なし,811,84.5,13.9,34.8,体調異変があれば優先は安全,自己流の無理はしない
2026/4/21,計量日,当日確認,体重確認優先; 範囲内なら余計なことをしない,必要時のみ少量,計量後はリカバリーへ,なし,0,0,0,0,陣営と相談して行動,めまい/動悸/吐き気なら無理しない
